State,HomeValue,Disaster Rate,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm
AK,389868.9333,15.94390855,0,0,0,0,0,2343.6,0
AL,211002.1509,74.97927845,6914.6,137.3,151.9,14645.2,26991,733.3,2420.5
AR,164078.289,9.070294785,6784.1,4698.1,297,11891.5,719.8,0,1358.3
AZ,362535.3991,22.98433828,1514.5,1915.8,0,5472,0,1353.5,0
CA,610135.8676,7.302686051,16532.3,19172.1,15443,3518.8,0,99867.4,0
CO,601218.6734,13.52681183,7128.5,2067,104.7,33206.1,0,7224.4,418.9
CT,428266.8327,8.550191,13.3,608.1,41.9,907.2,6001.6,0,3142.8
DE,385593.9195,20.10877892,886,34.5,12.6,285.3,1033.9,0,931.5
FL,363987.0459,5.658102621,1527.8,2931.8,13874.6,6630,371440,305.7,4009.9
GA,221016.2721,5.832054767,8320.2,1418.2,1310.6,13080,20022.2,294.8,2907.1
HI,869898.6468,31.44917813,0,0,0,0,4377.5,0,0
IA,204240.3888,22.10544296,0,0,0,0,6913,5665,0
ID,456926.261,4.793519162,16411.3,24476.4,77.4,22953.5,0,0,235.8
IL,154183.6454,6.964475372,3524.5,586.3,12.6,0,0,3549.5,0
IN,211312.0544,19.59979094,17473.9,10088.2,429.8,28687.3,1082.4,0,2577.3
KS,181580.4931,23.77410524,8780.4,5518,233.5,15668.5,1123.5,0,796.6
KY,186617.5359,16.29690315,25918.8,3658.4,175.1,13945.8,0,0,205.5
LA,167304.0574,17.32653724,7877.5,960.8,254.2,16505.4,1317.1,0,1582.6
MA,687121.2784,39.93980501,7011.4,21509,209.3,12908,268710.6,0,2310.4
MD,333732.376,5.164188932,20,1310.2,50.2,877.6,3677.4,0,5173
ME,355380.7966,6.695099472,3384.8,344.3,33.5,3757.5,6520.9,0,3134.4
MI,225221.9366,3.684818548,13.3,597.5,0,243.1,142.9,0,1623
MN,276714.9311,10.41390047,3291,3299,50.2,7092,115,0,675.9
MO,204885.8308,24.48604805,10222,6123.4,54.4,24853.3,0,100.4,226
MS,157525.9609,11.10192208,12504.4,16261.3,652.5,29221.4,560.9,0,927.9
MT,482094.1665,59.50557865,8862.2,3747,129.2,6988.2,61630,43.2,4799.4
NC,284164.6291,31.17614522,13492.7,357,12.6,1276.3,0,3462.4,0
ND,270491.5486,22.73484629,10447.4,105.7,311.5,8722.9,68880,90.5,2450.9
NE,232664.6138,34.87296278,23976,9733.1,12.6,414.5,0,13.2,38.7
NH,405676.7431,5.364311877,17265.1,5231.3,86.7,16216.1,0,58.1,42.4
NJ,438031.7225,39.23848965,13.3,71.9,0,163.2,462.6,0,1628.6
NM,258639.2142,4.879501983,501.5,1347.7,50.2,4159.9,53292.8,0,5698.7
NV,430086.3893,5.375854214,3382.6,0,0,1059.6,304.6,4426.7,0
NY,248691.6429,73.51636373,444.4,1089,0,62.8,0,1245.3,45.6
OH,192346.5212,4.571544674,631.1,2341.1,71.2,4932.5,68689.2,0,7972
OK,160544.2158,42.31504899,6391.2,1389.9,416.1,18836.6,3560.7,0,1790.7
OR,441777.027,18.68787464,13072.6,2595.5,626.2,27292.4,0,347.6,1066.1
PA,216515.0594,4.555527244,4447,1655.3,138.1,107,0,5904,1477.9
RI,486815.0727,20.03497013,2516,1346.4,104.7,9654.3,12064.1,0,4010.2
SC,262101.142,5.490322392,0,0,0,0,126263.1,0,0
SD,291527.2297,68.90856372,13.3,238.8,8.4,224,1352.8,0,1127.2
TN,264766.7235,9.578012215,4326.4,2592,651.7,5130.8,24733.6,0,1557.3
TX,213305.4586,8.23196715,14695.8,5535.1,25.1,2289.5,0,108.4,0
UT,512224.7871,9.843004085,7369.5,3967.7,195.2,23508,1316.5,1834,2841.8
VA,291143.889,69.46395438,42703,15287.8,563.5,98063.8,247748.9,3154.6,26495.9
VT,384175.4022,7.312363607,361548.6,201437.2,37217.4,512135.6,1424931.8,147665.1,104243
WA,467776.4826,17.34410708,527.9,1605,12.6,28.8,0,1404.9,0
WI,284468.0405,38.50269802,4731.6,2293,91.3,4015.1,10813.5,0,3130.2
WV,163907.1319,7.923970347,0,0,0,0,21061.7,0,0
WY,465168.1344,54.56235027,13.3,952.8,0,184.8,1173.4,0,1197.8
